;;;;;
;;Sample Excel Worksheet;;;;
;;Created with Microsoft Excel 2003 SP1;;;;
;;RANDOM;;;;
;;;;;
;X;;Y;;;0,10803361055815294;;0,5421076745456586;
;0,7688775564398977;;0,33332374521220276;;;0,20589850386879338;;0,6658803614163215;
;0,5027658178018247;;0,5248914521769115;;;0,104283950340135;;0,6752210122883417;
;0,8322002626174131;;0,3099901561206161;;;0,5458248022691462;;0,642242212613226;
;0,48365379380232365;;0,4256515872784199;;;0,5451694710856161;;0,13711214351333312;
;0,7653250120418729;;0,4649864018266026;;;0,5798122587519755;;0,1984218574121696;
;0,6994356064588929;;0,13374574348970583;;;0,8030666200458383;;0,24790789245064737;
;0,18103017433594454;;0,733253265606823;;;0,9207412413883681;;0,7058203987338675;
;0,7434146309939281;;0,2512152899295163;;;;
;0,28739392724232465;;0,5108236635619885;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
